city_name,lat,lon,province,island,timezone,elevation_m,population
"Kota Probolinggo",-7.78333,113.21667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Pasuruan",-7.65,112.9,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Mojokerto",-7.46667,112.43333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Madiun",-7.63333,111.53333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Surabaya",-7.26667,112.71667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Batu",-7.83272,112.53751,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pandeglang",-6.63333,105.75,"Banten","Jawa","Asia/Jakarta",10,100000
"Kabupaten Lebak",-6.65,106.21667,"Banten","Jawa","Asia/Jakarta",10,100000
"Kabupaten Tangerang",-6.2,106.46667,"Banten","Jawa","Asia/Jakarta",10,100000
"Kabupaten Serang",-6.15,106.0,"Banten","Jawa","Asia/Jakarta",10,100000
"Kota Tangerang",-6.17944,106.62991,"Banten","Jawa","Asia/Jakarta",10,100000
"Kota Cilegon",-6.01667,106.01667,"Banten","Jawa","Asia/Jakarta",10,100000
"Kota Serang",-6.12563,106.14999,"Banten","Jawa","Asia/Jakarta",10,100000
"Kota Tangerang Selatan",-6.29373,106.71244,"Banten","Jawa","Asia/Jakarta",10,100000
"Kabupaten Jembrana",-8.3,114.66667,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Tabanan",-8.43333,115.06667,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Badung",-8.51667,115.2,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Gianyar",-8.46667,115.28333,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Klungkung",-8.55,115.4,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Bangli",-8.28333,115.35,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Karang Asem",-8.3891,115.5393,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Buleleng",-8.25,114.96667,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kota Denpasar",-8.66667,115.21663,"Bali","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Lombok Barat",-8.69583,116.11667,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Lombok Tengah",-8.7,116.3,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Lombok Timur",-8.53333,116.53333,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sumbawa",-8.7439,117.3324,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Dompu",-8.5094,118.4816,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Bima",-8.6,118.61667,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sumbawa Barat",-8.75159,116.92132,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Lombok Utara",-8.35214,116.40152,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kota Mataram",-8.5833,116.1167,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kota Bima",-8.46728,118.75259,"Nusa Tenggara Barat","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sumba Barat",-9.56667,119.45,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sumba Timur",-9.88333,120.25,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Kupang",-9.91667,123.83333,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Timor Tengah Selatan",-9.83333,124.4,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Timor Tengah Utara",-9.33136,124.51904,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Belu",-9.41258,124.95066,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Alor",-8.3,124.56667,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Lembata",-8.41396,123.55225,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Flores Timur",-8.24224,122.96817,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sikka",-8.66667,122.36667,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Ende",-8.84056,121.66389,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Ngada",-8.66667,121.0,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Manggarai",-8.56667,120.41667,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Rote Ndao",-10.73617,123.12054,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Manggarai Barat",-8.64484,119.88281,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sumba Tengah",-9.62941,119.61914,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sumba Barat Daya",-9.56216,119.08905,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Nagekeo",-8.8721,121.20963,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Manggarai Timur",-8.55533,120.59761,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sabu Raijua",-10.56286,121.78894,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Malaka",-9.5632,124.89481,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kota Kupang",-10.21667,123.6,"Nusa Tenggara Timur","Nusa Tenggara","Asia/Makassar",10,100000
"Kabupaten Sambas",1.41667,109.33333,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Bengkayang",1.06911,109.66393,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Landak",0.42373,109.75917,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Mempawah",0.25,109.16667,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Sanggau",0.25472,110.45,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Ketapang",-1.58333,110.5,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Sintang",-0.08333,112.08333,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kapuas Hulu",0.81667,112.76667,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Sekadau",0.03485,110.95066,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Melawi",-0.33617,111.698,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kayong Utara",-1.43711,110.79781,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kubu Raya",0.01637,109.33731,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kota Pontianak",-0.08333,109.36667,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kota Singkawang",0.90734,109.00103,"Kalimantan Barat","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kotawaringin Barat",-2.4,111.73333,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kotawaringin Timur",-2.08333,112.75,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kapuas",-2.01667,114.38333,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Barito Selatan",-1.86667,114.73333,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Barito Utara",-0.98333,115.1,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Sukamara",-2.62675,111.23681,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Lamandau",-1.83828,111.2869,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Seruyan",-2.33333,112.25,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Katingan",-2.06667,113.4,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Pulang Pisau",-3.11858,113.8623,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Gunung Mas",-0.95,113.5,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Barito Timur",-1.93333,115.1,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Murung Raya",-0.01667,114.26667,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kota Palangka Raya",-1.76979,113.73126,"Kalimantan Tengah","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Tanah Laut",-3.88333,114.86667,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kota Baru",-3.0,116.0,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Banjar",-3.31667,115.08333,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Barito Kuala",-3.08333,114.61667,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Tapin",-2.91667,115.03333,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Hulu Sungai Selatan",-2.75,115.2,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Hulu Sungai Tengah",-2.61667,115.41667,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Hulu Sungai Utara",-2.45,115.13333,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Tabalong",-1.88333,115.5,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Tanah Bumbu",-3.45413,115.70372,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Balangan",-2.32314,115.62922,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kota Banjarmasin",-3.32444,114.59102,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kota Banjar Baru",-3.41667,114.83333,"Kalimantan Selatan","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Paser",-1.43517,116.23535,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kutai Barat",-0.59417,115.51575,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kutai Kartanegara",-0.44019,116.98139,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Kutai Timur",1.03769,117.83112,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Berau",2.0,117.3,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Penajam Paser Utara",-1.25,116.83333,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Mahakam Hulu",0.37822,115.38048,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kota Balikpapan",-1.16667,116.88333,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kota Samarinda",-0.43333,117.18333,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kota Bontang",0.12526,117.49603,"Kalimantan Timur","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Malinau",2.45,115.68333,"Kalimantan Utara","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Bulungan",3.0,117.16667,"Kalimantan Utara","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Tana Tidung",3.55,117.25,"Kalimantan Utara","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Nunukan",4.13333,116.7,"Kalimantan Utara","Kalimantan","Asia/Makassar",10,100000
"Kota Tarakan",3.36667,117.6,"Kalimantan Utara","Kalimantan","Asia/Makassar",10,100000
"Kabupaten Bolaang Mongondow",0.75,124.08333,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Minahasa",1.2537,124.83,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Kepulauan Sangihe",3.5,125.55,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Kepulauan Talaud",4.31178,126.78085,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Minahasa Selatan",1.21291,124.59708,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Minahasa Utara",1.4025,124.96,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bolaang Mongondow Utara",0.78527,123.41766,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Siau Tagulandang Biaro",2.11728,125.37512,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Minahasa Tenggara",1.05633,124.7925,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bolaang Mongondow Selatan",0.40912,123.75961,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bolaang Mongondow Timur",0.72073,124.50256,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kota Manado",1.51667,124.88333,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kota Bitung",1.48333,125.15,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kota Tomohon",1.31307,124.83404,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kota Kotamobagu",0.68915,124.32678,"Sulawesi Utara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Banggai Kepulauan",-1.6424,123.54881,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Banggai",-1.2835,122.8892,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Morowali",-1.89342,121.25473,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Poso",-1.65,120.5,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Donggala",-0.58333,119.85,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Toli-Toli",1.30862,120.88643,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Buol",0.75,120.75,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Parigi Moutong",0.3368,120.17841,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Tojo Una-Una",-1.2036,121.48201,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Sigi",-1.385,119.96694,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Banggai Laut",-1.61841,123.49388,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Morowali Utara",-1.7207,121.24649,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kota Palu",-0.86972,119.9,"Sulawesi Tengah","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Kepulauan Selayar",-6.81667,120.8,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bulukumba",-5.41667,120.23333,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bantaeng",-5.48333,119.98333,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Jeneponto",-5.63333,119.73333,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Takalar",-5.41667,119.51667,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Gowa",-5.31667,119.75,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Sinjai",-5.21667,120.15,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Maros",-5.05,119.71667,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Pangkajene Dan Kepulauan",-4.7827,119.5506,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Barru",-4.43333,119.68333,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bone",-4.7,120.13333,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Soppeng",-4.3842,119.89,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Wajo",-4.0,120.16667,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Sidenreng Rappang",-3.85,119.96667,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Pinrang",-3.61667,119.6,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Enrekang",-3.5,119.86667,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Luwu",-2.5577,121.3242,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Tana Toraja",-3.0024,119.79655,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Luwu Utara",-2.6,120.25,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Luwu Timur",-2.50957,120.3978,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Toraja Utara",-2.92738,119.79218,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kota Makassar",-5.15,119.45,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kota Pare-Pare",-4.03333,119.65,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kota Palopo",-2.97841,120.11078,"Sulawesi Selatan","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Buton",-5.31667,122.58333,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Muna",-4.96667,122.66667,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Konawe",-3.91717,122.08823,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Kolaka",-4.08333,121.66667,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Konawe Selatan",-4.19191,122.44854,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bombana",-4.6257,121.81641,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Wakatobi",-5.31934,123.5948,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Kolaka Utara",-3.10452,121.12427,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Buton Utara",-5.01457,122.93015,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Konawe Utara",-3.41552,121.99081,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Kolaka Timur",-4.01807,121.86172,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Konawe Kepulauan",-4.11656,123.10181,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Muna Barat",-4.83333,122.48333,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Buton Tengah",-5.31667,122.33333,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Buton Selatan",-5.56667,122.7,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kota Kendari",-3.98333,122.5,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kota Baubau",-5.477,122.6166,"Sulawesi Tenggara","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Boalemo",0.62689,122.3568,"Gorontalo","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Gorontalo",0.5728,122.2337,"Gorontalo","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Pohuwato",0.7098,121.59582,"Gorontalo","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Bone Bolango",0.50296,123.27501,"Gorontalo","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Gorontalo Utara",0.77,122.31667,"Gorontalo","Sulawesi","Asia/Makassar",10,100000
"Kota Gorontalo",0.53333,123.1,"Gorontalo","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Majene",-3.15,118.86667,"Sulawesi Barat","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Polewali Mandar",-3.3,119.16667,"Sulawesi Barat","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Mamasa",-2.96492,119.30631,"Sulawesi Barat","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Mamuju",-2.5,119.41667,"Sulawesi Barat","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Mamuju Utara",-1.51639,119.42139,"Sulawesi Barat","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Mamuju Tengah",-2.8212,119.2662,"Sulawesi Barat","Sulawesi","Asia/Makassar",10,100000
"Kabupaten Maluku Tenggara Barat",-7.61186,131.38,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Maluku Tenggara",-5.75,132.73334,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Maluku Tengah",-3.29167,128.9675,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Buru",-3.32767,126.68413,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Kepulauan Aru",-6.17059,134.46991,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Seram Bagian Barat",-3.1027,128.42996,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Seram Bagian Timur",-3.39851,130.39166,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Maluku Barat Daya",-7.8296,126.17386,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Buru Selatan",-3.52187,126.59271,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kota Ambon",-3.7,128.18333,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kota Tual",-5.64301,132.74934,"Maluku","Maluku","Asia/Jayapura",10,100000
"Kabupaten Halmahera Barat",1.41709,127.55264,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Halmahera Tengah",0.48056,128.25,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Kepulauan Sula",-1.8646,125.69046,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Halmahera Selatan",-0.3955,127.90833,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Halmahera Utara",1.73194,128.00778,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Halmahera Timur",1.33517,128.48627,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Pulau Morotai",2.19924,128.40546,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Pulau Taliabu",-1.84578,124.78992,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kota Ternate",0.89618,127.31016,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kota Tidore Kepulauan",0.60962,127.56981,"Maluku Utara","Maluku","Asia/Jayapura",10,100000
"Kabupaten Fak-Fak",-2.92641,132.29608,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Kaimana",-3.66093,133.77451,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Teluk Wondama",-2.7,134.5,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Teluk Bintuni",-1.88037,133.33105,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Manokwari",-0.9,133.75,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Sorong Selatan",-1.50495,132.28638,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Sorong",-1.16667,131.5,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Raja Ampat",-0.5,130.0,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Tambrauw",-0.60515,132.48962,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Maybrat",-1.2155,132.35092,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Manokwari Selatan",-1.0798,133.96729,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Pegunungan Arfak",-0.93523,133.89587,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kota Sorong",-0.86507,131.25153,"Papua Barat","Papua","Asia/Jayapura",10,100000
"Kabupaten Merauke",-7.66667,139.66667,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Jayawijaya",-4.08333,139.08333,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Jayapura",-3.0,139.95,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Nabire",-3.54016,135.55511,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Kepulauan Yapen",-1.78773,136.27716,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Biak Numfor",-1.03333,136.0,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Paniai",-3.9,136.60001,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Puncak Jaya",-3.67241,137.43896,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Mimika",-4.54357,136.56555,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Boven Digoel",-5.70519,140.36349,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Mappi",-6.49971,139.34441,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Asmat",-5.3795,138.46344,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Yahukimo",-4.60403,139.58405,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Pegunungan Bintang",-4.52167,140.29541,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Tolikara",-3.42661,137.41699,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Sarmi",-2.41667,139.08333,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Keerom",-3.3,140.61667,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Waropen",-2.286,137.01837,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Supiori",-0.73881,135.61111,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Mamberamo Raya",-2.23561,137.78229,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Nduga",-4.45093,138.10089,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Lanny Jaya",-3.91244,138.28766,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Mamberamo Tengah",-2.46064,138.45245,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Yalimo",-3.86037,138.47305,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Puncak",-4.14204,137.09702,"Papua","Papua","Asia/Jayapura",10,100000
"Kabupaten Dogiyai",-4.03186,135.43945,"Papua","Papua","Asia/Jayapura",10,100000
